模型,Accuracy,Precision,Recall,F1,AUC
随机森林,0.9586,0.9412,0.9509,0.946,0.9896
LightGBM,0.9576,0.9365,0.9535,0.9449,0.9932
CatBoost,0.9596,0.9391,0.9561,0.9475,0.9917
软投票融合,0.9606,0.937,0.9612,0.949,0.992
