epoch,train_loss,val_loss,val_f1
1,0.6469127844119894,1.2421948164701462,0.0
2,0.39793839125797664,1.103232903406024,0.2222222222222222
3,0.34259207289794397,0.4007902443408966,0.7692307692307693
4,0.3018483103349291,0.3881004601716995,0.6666666666666666
5,0.16008027463123717,0.9768313406966627,0.7272727272727273
6,0.39876914486802856,0.6934474557638168,0.4
7,0.2790172315877059,0.46347521245479584,0.5454545454545454
8,0.10013547289217341,0.5351205617189407,0.6666666666666666
9,0.1605732562020421,0.3355908542871475,0.8571428571428571
10,0.06824629064970489,0.3320935517549515,0.8421052631578947
